Project,Cluster
Gstreamer_,Cluster positivo
Nodejs_,Cluster positivo
Salt_,Cluster positivo
Django_,Cluster negativo
Rails_,Cluster negativo
Vagrant_,Cluster negativo
AngularJS_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Emacs_,Cluster neutro
FFmpeg_,Cluster neutro
Firefox_,Cluster neutro
GitLab_,Cluster neutro
Git_,Cluster neutro
iPython_,Cluster neutro
LibreOffice_,Cluster neutro
LLVM_,Cluster neutro
Mesa_,Cluster neutro
Python_,Cluster neutro
QEMU_,Cluster neutro
U-boot_,Cluster neutro
