Project,Cluster
Firefox_,Cluster negativo
GitLab_,Cluster negativo
LLVM_,Cluster negativo
U-boot_,Cluster negativo
Vagrant_,Cluster negativo
AngularJS_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Django_,Cluster neutro
Emacs_,Cluster neutro
FFmpeg_,Cluster neutro
Git_,Cluster neutro
Gstreamer_,Cluster neutro
iPython_,Cluster neutro
LibreOffice_,Cluster neutro
Mesa_,Cluster neutro
Nodejs_,Cluster neutro
Python_,Cluster neutro
QEMU_,Cluster neutro
Rails_,Cluster neutro
Salt_,Cluster neutro
