Project,Cluster
LLVM_,Cluster positivo
Salt_,Cluster positivo
Emacs_,Cluster negativo
Firefox_,Cluster negativo
AngularJS_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Django_,Cluster neutro
FFmpeg_,Cluster neutro
GitLab_,Cluster neutro
Git_,Cluster neutro
Gstreamer_,Cluster neutro
iPython_,Cluster neutro
LibreOffice_,Cluster neutro
Mesa_,Cluster neutro
Nodejs_,Cluster neutro
Python_,Cluster neutro
QEMU_,Cluster neutro
Rails_,Cluster neutro
U-boot_,Cluster neutro
Vagrant_,Cluster neutro
