Project,Cluster
Django_,Cluster negativo
Firefox_,Cluster negativo
GitLab_,Cluster negativo
Mesa_,Cluster negativo
QEMU_,Cluster negativo
Vagrant_,Cluster negativo
AngularJs_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Emacs_,Cluster neutro
FFmpeg_,Cluster neutro
Git_,Cluster neutro
Gstreamer_,Cluster neutro
iPython_,Cluster neutro
LibreOffice_,Cluster neutro
LLVM_,Cluster neutro
Nodejs_,Cluster neutro
Python_,Cluster neutro
Rails_,Cluster neutro
Salt_,Cluster neutro
U-boot_,Cluster neutro
