Project,Cluster
Gstreamer_,Cluster positivo
Mesa_,Cluster positivo
Emacs_,Cluster negativo
Firefox_,Cluster negativo
GitLab_,Cluster negativo
Git_,Cluster negativo
iPython_,Cluster negativo
QEMU_,Cluster negativo
U-boot_,Cluster negativo
Vagrant_,Cluster negativo
AngularJs_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Django_,Cluster neutro
FFmpeg_,Cluster neutro
LibreOffice_,Cluster neutro
LLVM_,Cluster neutro
Nodejs_,Cluster neutro
Python_,Cluster neutro
Rails_,Cluster neutro
Salt_,Cluster neutro
