Project,Cluster
Gstreamer_,Cluster positivo
Nodejs_,Cluster positivo
Firefox_,Cluster negativo
GitLab_,Cluster negativo
Git_,Cluster negativo
iPython_,Cluster negativo
AngularJs_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Django_,Cluster neutro
Emacs_,Cluster neutro
FFmpeg_,Cluster neutro
LibreOffice_,Cluster neutro
LLVM_,Cluster neutro
Mesa_,Cluster neutro
Python_,Cluster neutro
QEMU_,Cluster neutro
Rails_,Cluster neutro
Salt_,Cluster neutro
U-boot_,Cluster neutro
Vagrant_,Cluster neutro
