Project,Cluster
QEMU_,Cluster positivo
Firefox_,Cluster negativo
GitLab_,Cluster negativo
Python_,Cluster negativo
U-boot_,Cluster negativo
Vagrant_,Cluster negativo
AngularJs_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Django_,Cluster neutro
Emacs_,Cluster neutro
FFmpeg_,Cluster neutro
Git_,Cluster neutro
Gstreamer_,Cluster neutro
iPython_,Cluster neutro
LibreOffice_,Cluster neutro
LLVM_,Cluster neutro
Mesa_,Cluster neutro
Nodejs_,Cluster neutro
Rails_,Cluster neutro
Salt_,Cluster neutro
