range,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,org.silo,prima.donnas,radio.silence,black.cloud,missing.links,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,commit_range,commit_count,commit_categories
9c82bca5ee274d700ec3166d4521d4c6d2ff896c-cda4d6881aba6ebcdd71a8f1c47976e77cf9e9aa,2013-05 -- 2013-08,212,124,86,2,0.5849,0.4057,0.0094,20,0.0943,1,0.0114,26,83,74,12,40,0,4,0,40,0.0,0.802,0.0,0.0,0.0,0.0,0.0,0.0,0.1415,0.6085,0.4127,0.8636,0.0022,0.0387,0.1015,0.1359,0.8695,0.0013,0.0075,73,11,1,0.8588,0.1294,0.0118,9c82bca5ee274d700ec3166d4521d4c6d2ff896c-cda4d6881aba6ebcdd71a8f1c47976e77cf9e9aa,921,"Counter({'Bug Fix': 166, 'Git': 138, 'Other': 112, 'Update': 107, 'Feature Addition': 76, 'Merge/Conflict Resolution': 65, 'Tests': 47, 'Cleanup': 42, 'Documentation': 23, 'Frontend': 17, 'Backend': 16, 'Build/Configuration': 15, 'Data Management': 14, 'Refactoring': 13, 'Performance Improvements': 12, 'Release': 12, 'Deprecation': 10, 'Style/Formatting': 10, 'Production': 6, 'Service': 4, 'Rollback': 4, 'Dependencies': 4, 'Monitoring': 3, 'Experimental/Prototype': 3, 'Machine Learning': 2})"
cda4d6881aba6ebcdd71a8f1c47976e77cf9e9aa-8c7d342a284a53da80c9028f73eb8fa3ed83af28,2013-08 -- 2013-11,177,96,75,6,0.5424,0.4237,0.0339,23,0.1299,2,0.0247,30,67,68,12,55,0,3,0,58,0.0,0.8404,0.9512,0.8166,0.9867,1.0,0.5833,0.0973,0.1638,0.6215,0.3333,0.8519,0.0017,0.0217,0.1045,0.2132,0.8639,0.1692,0.0091,66,10,2,0.8462,0.1282,0.0256,cda4d6881aba6ebcdd71a8f1c47976e77cf9e9aa-8c7d342a284a53da80c9028f73eb8fa3ed83af28,880,"Counter({'Git': 218, 'Other': 95, 'Update': 94, 'Bug Fix': 92, 'Merge/Conflict Resolution': 64, 'Feature Addition': 63, 'Tests': 42, 'Documentation': 33, 'Build/Configuration': 31, 'Cleanup': 30, 'Refactoring': 19, 'Release': 14, 'Frontend': 13, 'Backend': 12, 'Data Management': 9, 'Security': 8, 'Deprecation': 8, 'Style/Formatting': 7, 'Rollback': 6, 'Performance Improvements': 6, 'User Interface': 4, 'Experimental/Prototype': 3, 'Machine Learning': 3, 'Dependencies': 3, 'Monitoring': 2, 'Production': 1})"
8c7d342a284a53da80c9028f73eb8fa3ed83af28-5818cf063bda5f6a96ccefe086b64a3699dd2c67,2013-11 -- 2014-02,185,97,84,4,0.5243,0.4541,0.0216,23,0.1243,2,0.0227,29,55,56,13,95,0,2,0,95,0.0,0.7804,0.8066,0.7101,0.9508,1.0161,0.48,0.1301,0.1838,0.7027,0.4455,0.8523,0.0049,0.158,0.1673,0.1504,0.7584,0.0858,0.012,55,12,1,0.8088,0.1765,0.0147,8c7d342a284a53da80c9028f73eb8fa3ed83af28-5818cf063bda5f6a96ccefe086b64a3699dd2c67,1233,"Counter({'Git': 228, 'Bug Fix': 183, 'Merge/Conflict Resolution': 154, 'Other': 138, 'Update': 131, 'Feature Addition': 79, 'Tests': 52, 'Style/Formatting': 42, 'Cleanup': 37, 'Documentation': 34, 'Refactoring': 28, 'Frontend': 24, 'Build/Configuration': 20, 'Release': 16, 'Data Management': 13, 'Service': 11, 'Performance Improvements': 10, 'Backend': 7, 'Deprecation': 5, 'Rollback': 4, 'Dependencies': 4, 'User Interface': 4, 'Experimental/Prototype': 2, 'Monitoring': 2, 'Architecture': 2, 'Security': 1, 'Minor Release': 1, 'Production': 1})"
5818cf063bda5f6a96ccefe086b64a3699dd2c67-cc1dd324643db07bdb29f3673995a8ad0dffa2df,2014-02 -- 2014-05,235,115,112,8,0.4894,0.4766,0.034,29,0.1234,1,0.0083,33,66,58,14,71,0,4,0,73,0.0,0.8656,0.7476,0.6538,0.7769,0.9298,0.5926,0.121,0.1489,0.7191,0.5285,0.8833,0.0039,0.1601,0.2394,0.2714,0.6366,0.1387,0.0085,55,11,3,0.7971,0.1594,0.0435,5818cf063bda5f6a96ccefe086b64a3699dd2c67-cc1dd324643db07bdb29f3673995a8ad0dffa2df,1344,"Counter({'Merge/Conflict Resolution': 223, 'Git': 220, 'Bug Fix': 165, 'Update': 133, 'Other': 118, 'Feature Addition': 115, 'Documentation': 59, 'Cleanup': 56, 'Tests': 51, 'Build/Configuration': 34, 'Release': 29, 'Data Management': 29, 'Refactoring': 20, 'Style/Formatting': 15, 'Performance Improvements': 15, 'Frontend': 13, 'Deprecation': 9, 'Service': 8, 'Production': 6, 'Dependencies': 6, 'Backend': 5, 'Monitoring': 4, 'Security': 4, 'User Interface': 3, 'Rollback': 2, 'Machine Learning': 1, 'Experimental/Prototype': 1})"
cc1dd324643db07bdb29f3673995a8ad0dffa2df-9bdd30f422237fc64d88330c0712e64d23464501,2014-05 -- 2014-08,179,104,69,6,0.581,0.3855,0.0335,27,0.1508,0,0.0,21,64,61,11,45,0,6,0,48,0.0204,0.8027,0.9565,0.9641,0.8154,0.8403,0.64,0.1061,0.1732,0.6425,0.4455,0.8533,0.0074,0.3763,0.3265,0.196,0.5274,0.0947,0.0106,59,9,2,0.8429,0.1286,0.0286,cc1dd324643db07bdb29f3673995a8ad0dffa2df-9bdd30f422237fc64d88330c0712e64d23464501,1295,"Counter({'Bug Fix': 232, 'Git': 223, 'Other': 132, 'Update': 126, 'Merge/Conflict Resolution': 117, 'Tests': 76, 'Feature Addition': 75, 'Documentation': 53, 'Cleanup': 47, 'Build/Configuration': 34, 'Refactoring': 29, 'Release': 28, 'Frontend': 28, 'Style/Formatting': 20, 'Performance Improvements': 20, 'Data Management': 14, 'Rollback': 8, 'Deprecation': 7, 'Service': 6, 'Backend': 5, 'User Interface': 5, 'Dependencies': 4, 'Monitoring': 4, 'Machine Learning': 1, 'Production': 1})"
9bdd30f422237fc64d88330c0712e64d23464501-4053c055beb7d88f9e22ca4187b9868a40030b00,2014-08 -- 2014-11,172,95,74,3,0.5523,0.4302,0.0174,21,0.1221,1,0.013,29,33,20,13,81,0,8,0,81,0.0,0.7988,0.8604,0.6711,1.1546,1.4815,0.5,0.0927,0.2267,0.8081,0.7959,0.8312,0.0067,0.2896,0.352,0.2479,0.1175,0.1523,0.0222,20,13,0,0.6061,0.3939,0.0,9bdd30f422237fc64d88330c0712e64d23464501-4053c055beb7d88f9e22ca4187b9868a40030b00,1571,"Counter({'Git': 432, 'Bug Fix': 174, 'Other': 132, 'Update': 126, 'Build/Configuration': 125, 'Merge/Conflict Resolution': 107, 'Feature Addition': 89, 'Tests': 80, 'Cleanup': 69, 'Documentation': 42, 'Release': 30, 'Refactoring': 28, 'Style/Formatting': 26, 'Performance Improvements': 23, 'Frontend': 17, 'Deprecation': 13, 'Backend': 12, 'Data Management': 11, 'Rollback': 10, 'Dependencies': 9, 'Service': 8, 'Monitoring': 3, 'User Interface': 2, 'Machine Learning': 2, 'Security': 1})"
4053c055beb7d88f9e22ca4187b9868a40030b00-008e3d66e9649079037260c072020340c69f3eec,2014-11 -- 2015-02,166,79,83,4,0.4759,0.5,0.0241,18,0.1084,4,0.046,25,45,42,16,111,0,4,0,111,0.0177,0.7719,0.8402,0.6707,0.6154,0.6129,0.4828,0.162,0.247,0.7289,0.494,0.8161,0.0081,0.2977,0.2755,0.0618,0.5846,0.0527,0.0154,40,14,2,0.7143,0.25,0.0357,4053c055beb7d88f9e22ca4187b9868a40030b00-008e3d66e9649079037260c072020340c69f3eec,1365,"Counter({'Git': 363, 'Bug Fix': 166, 'Update': 136, 'Other': 122, 'Feature Addition': 91, 'Merge/Conflict Resolution': 77, 'Documentation': 72, 'Tests': 57, 'Build/Configuration': 47, 'Cleanup': 39, 'Frontend': 27, 'Refactoring': 27, 'Performance Improvements': 21, 'Dependencies': 18, 'Service': 18, 'Style/Formatting': 16, 'Release': 16, 'Data Management': 14, 'Backend': 12, 'Monitoring': 7, 'Rollback': 4, 'Machine Learning': 3, 'Deprecation': 3, 'Production': 3, 'Architecture': 2, 'User Interface': 2, 'Security': 2})"
008e3d66e9649079037260c072020340c69f3eec-dfce7b62f7e126a0891f81abc0bda20cfb7a58b5,2015-02 -- 2015-05,231,101,122,8,0.4372,0.5281,0.0346,40,0.1732,2,0.0154,32,56,54,17,120,0,4,0,123,0.0,0.8241,0.5894,0.4608,0.5941,0.6667,0.4848,0.1197,0.1991,0.7576,0.5046,0.8692,0.0051,0.2341,0.2554,0.0575,0.4817,0.0043,0.0098,52,15,2,0.7536,0.2174,0.029,008e3d66e9649079037260c072020340c69f3eec-dfce7b62f7e126a0891f81abc0bda20cfb7a58b5,2294,"Counter({'Git': 689, 'Bug Fix': 286, 'Update': 265, 'Other': 185, 'Feature Addition': 175, 'Merge/Conflict Resolution': 97, 'Refactoring': 81, 'Cleanup': 76, 'Documentation': 74, 'Build/Configuration': 66, 'Tests': 65, 'Release': 39, 'Frontend': 38, 'Style/Formatting': 27, 'Deprecation': 24, 'Rollback': 21, 'Performance Improvements': 19, 'Data Management': 14, 'Service': 12, 'Dependencies': 10, 'Backend': 7, 'Monitoring': 7, 'Security': 5, 'Production': 4, 'Machine Learning': 3, 'User Interface': 2, 'Experimental/Prototype': 2, 'Architecture': 1})"
dfce7b62f7e126a0891f81abc0bda20cfb7a58b5-692e381e0cbc0295f0a5141579369a30d139128d,2015-05 -- 2015-08,127,45,76,6,0.3543,0.5984,0.0472,24,0.189,0,0.0,27,34,29,13,88,0,4,0,89,0.0,0.7756,1.1061,1.0,0.9111,1.0843,0.6,0.1465,0.2913,0.7323,0.4314,0.8415,0.0062,0.1181,0.1964,0.0375,0.647,0.0134,0.0179,27,11,2,0.675,0.275,0.05,dfce7b62f7e126a0891f81abc0bda20cfb7a58b5-692e381e0cbc0295f0a5141579369a30d139128d,1729,"Counter({'Git': 540, 'Bug Fix': 210, 'Feature Addition': 161, 'Update': 152, 'Other': 135, 'Merge/Conflict Resolution': 90, 'Documentation': 69, 'Cleanup': 53, 'Build/Configuration': 50, 'Refactoring': 47, 'Tests': 43, 'Performance Improvements': 32, 'Rollback': 29, 'Style/Formatting': 23, 'Data Management': 22, 'Release': 21, 'Frontend': 15, 'Deprecation': 10, 'Dependencies': 10, 'Backend': 4, 'Monitoring': 4, 'Experimental/Prototype': 3, 'Production': 2, 'Service': 2, 'Machine Learning': 1, 'Security': 1})"
692e381e0cbc0295f0a5141579369a30d139128d-f445d3d1f317d8addbe60cf31fa15ca592ba0d19,2015-08 -- 2015-11,163,48,113,2,0.2945,0.6933,0.0123,35,0.2147,6,0.0522,31,32,31,20,208,0,2,0,208,0.0,0.7819,0.6414,0.5482,0.697,0.8333,0.3636,0.1828,0.3129,0.8037,0.38,0.8261,0.0035,0.0285,0.1784,0.0487,0.7745,0.0462,0.0192,30,19,1,0.6,0.38,0.02,692e381e0cbc0295f0a5141579369a30d139128d-f445d3d1f317d8addbe60cf31fa15ca592ba0d19,2192,"Counter({'Git': 582, 'Bug Fix': 295, 'Other': 217, 'Build/Configuration': 211, 'Update': 175, 'Feature Addition': 150, 'Merge/Conflict Resolution': 79, 'Documentation': 78, 'Cleanup': 76, 'Tests': 60, 'Release': 43, 'Refactoring': 40, 'Frontend': 38, 'Data Management': 37, 'Style/Formatting': 31, 'Performance Improvements': 27, 'Deprecation': 22, 'Backend': 7, 'Rollback': 6, 'Service': 5, 'Architecture': 4, 'User Interface': 3, 'Machine Learning': 2, 'Monitoring': 2, 'Production': 1, 'Experimental/Prototype': 1})"
