range,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,org.silo,prima.donnas,radio.silence,black.cloud,missing.links,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,commit_range,commit_count,commit_categories
d94bda0c1fd3c618b98a63f76d71e129ad06d942-7e5cc31838cf2296139540a23d600e94182e4924,2013-06 -- 2013-09,275,120,78,77,0.4364,0.2836,0.28,37,0.1345,2,0.0129,24,78,69,48,392,2,93,0,807,0.1505,0.7374,0.0,0.0,0.0,0.0,0.0,0.0,0.6327,0.7164,0.6497,0.6903,0.0076,0.1013,0.3084,0.4273,0.4072,0.4657,0.0419,44,23,25,0.4783,0.25,0.2717,d94bda0c1fd3c618b98a63f76d71e129ad06d942-7e5cc31838cf2296139540a23d600e94182e4924,5586,"Counter({'Update': 2871, 'Tests': 661, 'Cleanup': 442, 'Data Management': 296, 'Build/Configuration': 255, 'Bug Fix': 188, 'Merge/Conflict Resolution': 160, 'Feature Addition': 123, 'Style/Formatting': 107, 'Performance Improvements': 78, 'Refactoring': 78, 'Rollback': 72, 'Dependencies': 53, 'Deprecation': 53, 'Release': 35, 'Frontend': 30, 'Other': 30, 'Git': 12, 'Documentation': 12, 'Experimental/Prototype': 8, 'Service': 5, 'Monitoring': 5, 'Security': 4, 'Backend': 3, 'User Interface': 3, 'Production': 2})"
7e5cc31838cf2296139540a23d600e94182e4924-25a2fb21049506d442988660d1f81b2e61704f85,2013-09 -- 2013-12,240,90,90,60,0.375,0.375,0.25,35,0.1458,8,0.0533,28,82,52,56,682,4,66,0,901,0.1175,0.7296,0.5437,0.4525,0.4125,0.5289,0.4038,0.5857,0.6542,0.6583,0.6533,0.6267,0.0089,0.1046,0.3631,0.3886,0.2987,0.3884,0.0553,34,38,18,0.3778,0.4222,0.2,7e5cc31838cf2296139540a23d600e94182e4924-25a2fb21049506d442988660d1f81b2e61704f85,6282,"Counter({'Update': 3067, 'Tests': 713, 'Cleanup': 560, 'Build/Configuration': 422, 'Dependencies': 269, 'Feature Addition': 239, 'Data Management': 198, 'Bug Fix': 149, 'Refactoring': 107, 'Performance Improvements': 101, 'Merge/Conflict Resolution': 88, 'Style/Formatting': 86, 'Release': 64, 'Rollback': 62, 'Deprecation': 47, 'Frontend': 33, 'Experimental/Prototype': 25, 'Documentation': 16, 'Other': 11, 'Monitoring': 8, 'Git': 5, 'User Interface': 4, 'Service': 4, 'Security': 2, 'Production': 2})"
25a2fb21049506d442988660d1f81b2e61704f85-39bc76939e4ae352ce983338ffd062a0d4551ef7,2013-12 -- 2014-03,240,90,88,62,0.375,0.3667,0.2583,23,0.0958,4,0.0267,26,76,53,54,943,0,60,0,1306,0.0705,0.6298,0.4333,0.34,0.3165,0.3619,0.2909,0.5385,0.6292,0.6833,0.6513,0.64,0.0089,0.1239,0.4652,0.5132,0.3688,0.514,0.0662,36,37,17,0.4,0.4111,0.1889,25a2fb21049506d442988660d1f81b2e61704f85-39bc76939e4ae352ce983338ffd062a0d4551ef7,7110,"Counter({'Update': 4221, 'Tests': 662, 'Cleanup': 608, 'Build/Configuration': 306, 'Data Management': 192, 'Bug Fix': 171, 'Performance Improvements': 168, 'Feature Addition': 156, 'Merge/Conflict Resolution': 147, 'Style/Formatting': 93, 'Refactoring': 72, 'Dependencies': 59, 'Frontend': 51, 'Rollback': 50, 'Deprecation': 37, 'Release': 30, 'Documentation': 28, 'Experimental/Prototype': 21, 'Other': 15, 'Monitoring': 11, 'Service': 4, 'Git': 4, 'Production': 1, 'User Interface': 1, 'Security': 1, 'Backend': 1})"
39bc76939e4ae352ce983338ffd062a0d4551ef7-ea2537d5ea64f4f238fa434dbc7cf53263afe78c,2014-03 -- 2014-06,224,85,84,55,0.3795,0.375,0.2455,34,0.1518,0,0.0,27,61,54,43,754,0,43,0,987,0.0827,0.6336,0.4914,0.4567,0.4672,0.4486,0.4124,0.4737,0.5938,0.7277,0.6143,0.6906,0.0093,0.1415,0.3974,0.2907,0.4294,0.3052,0.0555,36,25,18,0.4557,0.3165,0.2278,39bc76939e4ae352ce983338ffd062a0d4551ef7-ea2537d5ea64f4f238fa434dbc7cf53263afe78c,7626,"Counter({'Update': 4717, 'Cleanup': 737, 'Tests': 513, 'Data Management': 254, 'Build/Configuration': 236, 'Refactoring': 230, 'Bug Fix': 153, 'Other': 133, 'Feature Addition': 96, 'Style/Formatting': 84, 'Performance Improvements': 81, 'Merge/Conflict Resolution': 76, 'Rollback': 70, 'Dependencies': 59, 'Frontend': 52, 'Release': 47, 'Deprecation': 44, 'Documentation': 13, 'Experimental/Prototype': 12, 'Git': 8, 'Monitoring': 6, 'User Interface': 2, 'Security': 2, 'Service': 1})"
ea2537d5ea64f4f238fa434dbc7cf53263afe78c-d0908389da7691ac8c2c01f04eaa7042d820ea2c,2014-06 -- 2014-09,212,76,80,56,0.3585,0.3774,0.2642,27,0.1274,0,0.0,28,63,50,43,569,2,61,0,778,0.0922,0.6908,0.4587,0.3709,0.2097,0.3077,0.1395,0.45,0.6792,0.7028,0.6212,0.6838,0.0097,0.1314,0.3779,0.346,0.3634,0.3469,0.0534,34,27,16,0.4416,0.3506,0.2078,ea2537d5ea64f4f238fa434dbc7cf53263afe78c-d0908389da7691ac8c2c01f04eaa7042d820ea2c,4943,"Counter({'Update': 2710, 'Tests': 591, 'Cleanup': 420, 'Build/Configuration': 211, 'Data Management': 171, 'Bug Fix': 131, 'Refactoring': 119, 'Style/Formatting': 95, 'Feature Addition': 73, 'Merge/Conflict Resolution': 68, 'Rollback': 65, 'Dependencies': 59, 'Frontend': 50, 'Performance Improvements': 48, 'Release': 41, 'Deprecation': 41, 'Documentation': 17, 'Experimental/Prototype': 10, 'Git': 6, 'Service': 5, 'Other': 4, 'Security': 2, 'User Interface': 2, 'Monitoring': 2, 'Production': 1, 'Architecture': 1})"
d0908389da7691ac8c2c01f04eaa7042d820ea2c-502331f2891bdd40c7d63afebbbbe7d69abff633,2014-09 -- 2014-12,197,71,71,55,0.3604,0.3604,0.2792,25,0.1269,0,0.0,36,61,47,38,355,5,49,0,593,0.1671,0.7137,0.489,0.4351,0.4839,0.4124,0.5679,0.63,0.6142,0.6904,0.627,0.6984,0.0089,0.0969,0.389,0.2165,0.1864,0.218,0.0651,25,16,22,0.3968,0.254,0.3492,d0908389da7691ac8c2c01f04eaa7042d820ea2c-502331f2891bdd40c7d63afebbbbe7d69abff633,5570,"Counter({'Update': 2942, 'Tests': 857, 'Cleanup': 437, 'Build/Configuration': 270, 'Data Management': 184, 'Refactoring': 110, 'Bug Fix': 100, 'Style/Formatting': 94, 'Performance Improvements': 88, 'Frontend': 83, 'Dependencies': 72, 'Rollback': 70, 'Feature Addition': 63, 'Merge/Conflict Resolution': 62, 'Deprecation': 54, 'Release': 27, 'Experimental/Prototype': 20, 'Documentation': 13, 'Git': 13, 'Monitoring': 6, 'Other': 3, 'User Interface': 1, 'Production': 1})"
502331f2891bdd40c7d63afebbbbe7d69abff633-6efb7f65eea764ffe5b71f65f9b7eea125183ec3,2014-12 -- 2015-03,224,83,88,53,0.3705,0.3929,0.2366,36,0.1607,2,0.0142,30,68,44,41,397,0,53,0,537,0.1435,0.7112,0.3895,0.3371,0.3566,0.4176,0.3038,0.4268,0.625,0.6964,0.6765,0.7092,0.0086,0.1435,0.455,0.1745,0.3654,0.1699,0.0472,29,26,15,0.4143,0.3714,0.2143,502331f2891bdd40c7d63afebbbbe7d69abff633-6efb7f65eea764ffe5b71f65f9b7eea125183ec3,4377,"Counter({'Update': 2461, 'Tests': 522, 'Cleanup': 287, 'Build/Configuration': 204, 'Data Management': 141, 'Deprecation': 109, 'Bug Fix': 98, 'Refactoring': 81, 'Performance Improvements': 73, 'Rollback': 73, 'Feature Addition': 64, 'Dependencies': 46, 'Frontend': 44, 'Merge/Conflict Resolution': 44, 'Style/Formatting': 39, 'Release': 33, 'Service': 15, 'Documentation': 12, 'Other': 8, 'Git': 6, 'Monitoring': 6, 'Experimental/Prototype': 6, 'Security': 2, 'User Interface': 2, 'Backend': 1})"
6efb7f65eea764ffe5b71f65f9b7eea125183ec3-285b5ef45817fe20d3bf9613e0247d395b7c880d,2015-03 -- 2015-05,223,82,91,50,0.3677,0.4081,0.2242,45,0.2018,3,0.0213,32,61,40,44,507,0,70,0,661,0.1337,0.6786,0.4743,0.4113,0.5116,0.5,0.4,0.5566,0.6726,0.7265,0.697,0.6879,0.0082,0.1381,0.4258,0.0231,0.2773,0.027,0.0426,23,27,17,0.3433,0.403,0.2537,6efb7f65eea764ffe5b71f65f9b7eea125183ec3-285b5ef45817fe20d3bf9613e0247d395b7c880d,5313,"Counter({'Update': 2750, 'Tests': 621, 'Refactoring': 380, 'Cleanup': 320, 'Data Management': 240, 'Style/Formatting': 217, 'Build/Configuration': 212, 'Bug Fix': 111, 'Frontend': 83, 'Feature Addition': 69, 'Rollback': 66, 'Performance Improvements': 62, 'Deprecation': 43, 'Merge/Conflict Resolution': 36, 'Dependencies': 28, 'Release': 14, 'Documentation': 12, 'Experimental/Prototype': 12, 'Git': 11, 'Other': 11, 'Service': 9, 'Monitoring': 4, 'Production': 1, 'Backend': 1})"
285b5ef45817fe20d3bf9613e0247d395b7c880d-723b32783f8c411d410242639d9dbd0cadc61c43,2015-05 -- 2015-08,182,70,57,55,0.3846,0.3132,0.3022,18,0.0989,2,0.0179,33,60,46,38,337,0,49,0,489,0.1877,0.6846,0.6074,0.5217,0.4628,0.3953,0.561,0.6341,0.6099,0.6703,0.632,0.6607,0.0122,0.0972,0.3958,0.2644,0.3102,0.2767,0.0628,27,19,19,0.4154,0.2923,0.2923,285b5ef45817fe20d3bf9613e0247d395b7c880d-723b32783f8c411d410242639d9dbd0cadc61c43,4106,"Counter({'Update': 2210, 'Tests': 759, 'Cleanup': 234, 'Data Management': 154, 'Build/Configuration': 136, 'Refactoring': 121, 'Bug Fix': 78, 'Rollback': 74, 'Style/Formatting': 67, 'Feature Addition': 60, 'Deprecation': 40, 'Performance Improvements': 35, 'Frontend': 31, 'Merge/Conflict Resolution': 27, 'Dependencies': 24, 'Documentation': 21, 'Release': 10, 'Experimental/Prototype': 8, 'Other': 5, 'Service': 5, 'Git': 3, 'Production': 2, 'Security': 1, 'Monitoring': 1})"
723b32783f8c411d410242639d9dbd0cadc61c43-4245d367eae1ffdfffb292207f5e0fcf91fc3a22,2015-08 -- 2015-11,214,74,79,61,0.3458,0.3692,0.285,28,0.1308,1,0.0071,36,63,47,45,485,0,33,0,717,0.1115,0.6514,0.3535,0.2857,0.2927,0.3656,0.241,0.5286,0.5841,0.7056,0.6519,0.6786,0.0089,0.2193,0.5321,0.1021,0.3326,0.1086,0.0501,26,24,21,0.3662,0.338,0.2958,723b32783f8c411d410242639d9dbd0cadc61c43-4245d367eae1ffdfffb292207f5e0fcf91fc3a22,5270,"Counter({'Update': 2884, 'Tests': 986, 'Build/Configuration': 289, 'Cleanup': 284, 'Data Management': 131, 'Bug Fix': 92, 'Refactoring': 81, 'Merge/Conflict Resolution': 79, 'Style/Formatting': 67, 'Rollback': 64, 'Feature Addition': 63, 'Dependencies': 54, 'Performance Improvements': 53, 'Frontend': 46, 'Deprecation': 31, 'Release': 27, 'Experimental/Prototype': 9, 'Documentation': 9, 'Git': 7, 'Service': 3, 'Monitoring': 3, 'Other': 3, 'Backend': 2, 'Security': 2, 'Production': 1})"
