range,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,org.silo,prima.donnas,radio.silence,black.cloud,missing.links,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,commit_range,commit_count,commit_categories
c9d0d61b2782215166ca8956b7a89430d460b65f-d6f017831ec6c1f377809bae321e4cb27f4262fd,2013-06 -- 2013-09,137,95,6,36,0.6934,0.0438,0.2628,2,0.0146,0,0.0,1,56,56,10,1,0,45,0,9,0.75,0.9742,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.5912,0.5725,0.7619,0.0396,0.1141,0.4979,0.1932,0.1262,0.4408,0.1565,47,1,9,0.8246,0.0175,0.1579,c9d0d61b2782215166ca8956b7a89430d460b65f-d6f017831ec6c1f377809bae321e4cb27f4262fd,376,"Counter({'Bug Fix': 111, 'Tests': 62, 'Update': 42, 'Documentation': 34, 'Build/Configuration': 25, 'Other': 17, 'Merge/Conflict Resolution': 15, 'Cleanup': 14, 'Dependencies': 13, 'Feature Addition': 11, 'Style/Formatting': 10, 'Deprecation': 6, 'Performance Improvements': 5, 'Release': 4, 'Refactoring': 3, 'Experimental/Prototype': 1, 'Architecture': 1, 'Machine Learning': 1, 'Data Management': 1})"
d6f017831ec6c1f377809bae321e4cb27f4262fd-b846db24716a7b494c737c984581528220e7eb25,2013-09 -- 2013-12,167,122,6,39,0.7305,0.0359,0.2335,3,0.018,1,0.0222,1,67,67,13,1,0,66,0,8,0.6522,0.9768,0.3553,0.2299,0.2927,0.2927,0.5217,0.3704,0.4371,0.5988,0.5839,0.7111,0.0398,0.0843,0.5401,0.0812,0.0645,0.1602,0.1587,56,2,11,0.8116,0.029,0.1594,d6f017831ec6c1f377809bae321e4cb27f4262fd-b846db24716a7b494c737c984581528220e7eb25,451,"Counter({'Bug Fix': 102, 'Documentation': 74, 'Update': 52, 'Tests': 48, 'Other': 30, 'Merge/Conflict Resolution': 27, 'Build/Configuration': 21, 'Feature Addition': 17, 'Cleanup': 17, 'Release': 14, 'Dependencies': 13, 'Performance Improvements': 8, 'Style/Formatting': 7, 'Security': 5, 'Data Management': 4, 'Rollback': 3, 'Monitoring': 3, 'Deprecation': 2, 'Refactoring': 1, 'Experimental/Prototype': 1, 'Backend': 1, 'Git': 1})"
b846db24716a7b494c737c984581528220e7eb25-fb04ad731939c7d18fe1be648c9b5b36d9669ef8,2013-12 -- 2014-03,174,131,8,35,0.7529,0.046,0.2011,2,0.0115,0,0.0,1,70,70,8,1,0,64,0,1,0.9545,0.9884,0.3988,0.2045,0.3358,0.3358,0.7619,0.4118,0.3736,0.5977,0.5783,0.814,0.0269,0.0926,0.5602,0.0988,0.0922,0.4128,0.1681,63,1,7,0.8873,0.0141,0.0986,b846db24716a7b494c737c984581528220e7eb25-fb04ad731939c7d18fe1be648c9b5b36d9669ef8,380,"Counter({'Bug Fix': 125, 'Update': 49, 'Tests': 46, 'Other': 37, 'Documentation': 24, 'Build/Configuration': 16, 'Feature Addition': 15, 'Merge/Conflict Resolution': 13, 'Cleanup': 10, 'Dependencies': 9, 'Style/Formatting': 8, 'Data Management': 5, 'Performance Improvements': 5, 'Deprecation': 5, 'Release': 4, 'Refactoring': 3, 'Rollback': 2, 'Git': 1, 'Security': 1, 'Frontend': 1, 'Backend': 1})"
fb04ad731939c7d18fe1be648c9b5b36d9669ef8-f6e484419fd0a66f8397500dac7173fbe1a03d53,2014-03 -- 2014-06,178,115,17,46,0.6461,0.0955,0.2584,1,0.0056,0,0.0,1,68,68,10,1,0,49,0,3,0.8235,0.9888,0.4148,0.0189,0.4493,0.4493,0.2222,0.4384,0.2921,0.618,0.5776,0.8413,0.0134,0.0847,0.5448,0.0873,0.0906,0.4937,0.1445,59,1,9,0.8551,0.0145,0.1304,fb04ad731939c7d18fe1be648c9b5b36d9669ef8-f6e484419fd0a66f8397500dac7173fbe1a03d53,600,"Counter({'Bug Fix': 110, 'Update': 84, 'Other': 73, 'Merge/Conflict Resolution': 63, 'Documentation': 58, 'Tests': 46, 'Feature Addition': 32, 'Cleanup': 32, 'Build/Configuration': 22, 'Release': 16, 'Data Management': 12, 'Deprecation': 11, 'Dependencies': 9, 'Style/Formatting': 8, 'Performance Improvements': 8, 'Monitoring': 3, 'Security': 3, 'Refactoring': 2, 'Git': 2, 'Frontend': 2, 'Rollback': 2, 'Experimental/Prototype': 1, 'Machine Learning': 1})"
f6e484419fd0a66f8397500dac7173fbe1a03d53-0018ef81c20faa0120bfebed18c7ebfb5a5e1ad9,2014-06 -- 2014-08,142,113,5,24,0.7958,0.0352,0.169,2,0.0141,0,0.0,1,64,64,8,3,0,29,0,8,0.3846,0.9284,0.4938,0.7826,0.2879,0.2879,0.5556,0.3291,0.2535,0.5493,0.5328,0.7241,0.1205,0.1428,0.6082,0.1972,0.1998,0.5211,0.1932,58,2,6,0.8788,0.0303,0.0909,f6e484419fd0a66f8397500dac7173fbe1a03d53-0018ef81c20faa0120bfebed18c7ebfb5a5e1ad9,451,"Counter({'Bug Fix': 130, 'Tests': 68, 'Update': 46, 'Documentation': 44, 'Cleanup': 27, 'Other': 25, 'Feature Addition': 23, 'Build/Configuration': 21, 'Merge/Conflict Resolution': 18, 'Dependencies': 14, 'Data Management': 7, 'Performance Improvements': 7, 'Release': 6, 'Deprecation': 5, 'Style/Formatting': 3, 'Refactoring': 2, 'Frontend': 2, 'Backend': 1, 'Rollback': 1, 'Monitoring': 1})"
0018ef81c20faa0120bfebed18c7ebfb5a5e1ad9-ef77a2732cf768ef78b85e40f67f4624f855f45e,2014-08 -- 2014-11,140,111,5,24,0.7929,0.0357,0.1714,1,0.0071,0,0.0,1,61,61,7,3,0,49,0,7,0.65,0.9534,0.3901,0.2759,0.384,0.384,0.5333,0.2182,0.3929,0.5643,0.5481,0.7586,0.0754,0.1139,0.5666,0.1518,0.1595,0.3722,0.1528,54,0,7,0.8852,0.0,0.1148,0018ef81c20faa0120bfebed18c7ebfb5a5e1ad9-ef77a2732cf768ef78b85e40f67f4624f855f45e,473,"Counter({'Bug Fix': 108, 'Update': 69, 'Documentation': 64, 'Tests': 42, 'Other': 39, 'Merge/Conflict Resolution': 31, 'Cleanup': 21, 'Feature Addition': 21, 'Dependencies': 17, 'Build/Configuration': 14, 'Release': 10, 'Refactoring': 10, 'Style/Formatting': 5, 'Deprecation': 4, 'Performance Improvements': 4, 'Data Management': 3, 'Frontend': 3, 'Git': 2, 'User Interface': 2, 'Experimental/Prototype': 1, 'Rollback': 1, 'Security': 1, 'Backend': 1})"
ef77a2732cf768ef78b85e40f67f4624f855f45e-56ed739213f204783085b648892f1ea49880af3e,2014-11 -- 2015-02,156,109,13,34,0.6987,0.0833,0.2179,0,0.0,0,0.0,1,57,57,8,5,0,38,0,14,0.5172,0.9112,0.3716,0.0789,0.4068,0.4068,0.2667,0.3273,0.2756,0.6346,0.6014,0.8298,0.0182,0.1003,0.4861,0.1963,0.1836,0.194,0.1397,51,2,6,0.8644,0.0339,0.1017,ef77a2732cf768ef78b85e40f67f4624f855f45e-56ed739213f204783085b648892f1ea49880af3e,857,"Counter({'Bug Fix': 204, 'Merge/Conflict Resolution': 194, 'Update': 91, 'Tests': 71, 'Other': 54, 'Documentation': 47, 'Feature Addition': 43, 'Build/Configuration': 34, 'Cleanup': 30, 'Performance Improvements': 25, 'Release': 15, 'Dependencies': 13, 'Deprecation': 9, 'Refactoring': 7, 'Rollback': 5, 'Data Management': 4, 'Style/Formatting': 4, 'Monitoring': 2, 'Security': 2, 'Architecture': 1, 'Production': 1, 'Frontend': 1})"
56ed739213f204783085b648892f1ea49880af3e-0ec3fea405a2d9370e0b3bd476a8cd25314fddf5,2015-02 -- 2015-05,180,142,5,33,0.7889,0.0278,0.1833,5,0.0278,0,0.0,1,68,68,13,6,0,46,0,42,0.5532,0.8651,0.4048,0.3529,0.4,0.4,0.1905,0.3088,0.3333,0.6222,0.6114,0.6579,0.0714,0.117,0.4944,0.3646,0.2298,0.2454,0.1425,58,3,10,0.8169,0.0423,0.1408,56ed739213f204783085b648892f1ea49880af3e-0ec3fea405a2d9370e0b3bd476a8cd25314fddf5,1353,"Counter({'Bug Fix': 372, 'Merge/Conflict Resolution': 199, 'Update': 156, 'Tests': 111, 'Feature Addition': 80, 'Cleanup': 68, 'Documentation': 66, 'Other': 59, 'Build/Configuration': 44, 'Performance Improvements': 42, 'Dependencies': 37, 'Release': 31, 'Style/Formatting': 24, 'Deprecation': 20, 'Refactoring': 15, 'Git': 13, 'Backend': 5, 'Experimental/Prototype': 3, 'Rollback': 2, 'Data Management': 2, 'Production': 1, 'Security': 1, 'Monitoring': 1, 'Frontend': 1})"
0ec3fea405a2d9370e0b3bd476a8cd25314fddf5-c210a89d3211e2bb928a56e39d4f3a264d65efac,2015-05 -- 2015-08,144,120,5,19,0.8333,0.0347,0.1319,1,0.0069,0,0.0,1,63,63,3,0,0,44,0,0,1.0,1.0,0.5802,0.6129,0.458,0.4275,1.25,0.2872,0.3056,0.5625,0.5468,0.875,0.0281,0.0918,0.518,0.2945,0.2702,0.499,0.1953,60,0,3,0.9524,0.0,0.0476,0ec3fea405a2d9370e0b3bd476a8cd25314fddf5-c210a89d3211e2bb928a56e39d4f3a264d65efac,86454,"Counter({'Bug Fix': 16440, 'Other': 11310, 'Merge/Conflict Resolution': 8882, 'Update': 8702, 'Feature Addition': 7862, 'Tests': 6813, 'Documentation': 5091, 'Cleanup': 3779, 'Dependencies': 3721, 'Build/Configuration': 3542, 'Release': 1828, 'Style/Formatting': 1667, 'Performance Improvements': 1660, 'Deprecation': 1249, 'Refactoring': 1097, 'Data Management': 827, 'Rollback': 476, 'Experimental/Prototype': 338, 'Backend': 231, 'Monitoring': 228, 'Frontend': 201, 'Git': 183, 'User Interface': 94, 'Production': 62, 'Security': 58, 'Architecture': 54, 'Machine Learning': 39, 'Service': 13, 'Minor Release': 5, 'Major Release': 2})"
c210a89d3211e2bb928a56e39d4f3a264d65efac-87d11365db0d492fb898787de02617d5fe89096a,2015-08 -- 2015-11,135,111,7,17,0.8222,0.0519,0.1259,3,0.0222,0,0.0,1,55,55,6,2,0,35,0,3,0.5714,0.9405,0.5233,0.4583,0.5254,0.5254,0.4444,0.3014,0.2815,0.5926,0.5703,0.75,0.0375,0.1145,0.393,0.195,0.1999,0.2381,0.1219,50,1,5,0.8929,0.0179,0.0893,c210a89d3211e2bb928a56e39d4f3a264d65efac-87d11365db0d492fb898787de02617d5fe89096a,291,"Counter({'Bug Fix': 88, 'Update': 38, 'Documentation': 34, 'Tests': 29, 'Other': 22, 'Feature Addition': 17, 'Cleanup': 15, 'Build/Configuration': 12, 'Git': 6, 'Performance Improvements': 6, 'Dependencies': 5, 'Merge/Conflict Resolution': 4, 'Style/Formatting': 4, 'Data Management': 3, 'Deprecation': 3, 'Frontend': 2, 'Release': 2, 'Monitoring': 1})"
