range,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,org.silo,prima.donnas,radio.silence,black.cloud,missing.links,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,commit_range,commit_count,commit_categories
9914fbedf21f1ffd45af67c8f3fe8a2e8f7e7785-45d883dcf208160e2db308d1b368beb74f37dc7e,2013-06 -- 2013-09,365,230,11,124,0.6301,0.0301,0.3397,55,0.1507,9,0.0667,32,119,117,42,25,0,106,0,160,0.5887,0.9333,0.0,0.0,0.0,0.0,0.0,0.0,0.4795,0.674,0.6695,0.6889,0.0079,0.1913,0.4581,0.3663,0.2861,0.4756,0.0309,82,7,35,0.6613,0.0565,0.2823,9914fbedf21f1ffd45af67c8f3fe8a2e8f7e7785-45d883dcf208160e2db308d1b368beb74f37dc7e,1668,"Counter({'Cleanup': 248, 'Feature Addition': 188, 'Bug Fix': 188, 'Other': 170, 'Update': 169, 'Build/Configuration': 128, 'Tests': 90, 'Data Management': 83, 'Performance Improvements': 67, 'Refactoring': 66, 'Git': 65, 'Style/Formatting': 41, 'Release': 32, 'Documentation': 28, 'Deprecation': 22, 'Experimental/Prototype': 19, 'Monitoring': 11, 'Rollback': 10, 'Merge/Conflict Resolution': 8, 'User Interface': 7, 'Quality Assurance': 6, 'Dependencies': 6, 'Frontend': 5, 'Backend': 3, 'Machine Learning': 3, 'Architecture': 3, 'Service': 2})"
45d883dcf208160e2db308d1b368beb74f37dc7e-bcf2b7d2af7c54bb42be1229df9e78ba7d08d2a7,2013-09 -- 2013-12,375,260,9,106,0.6933,0.024,0.2827,49,0.1307,5,0.0435,32,121,122,26,6,2,149,1,40,0.646,0.9768,0.4784,0.52,0.3583,0.3598,0.6765,0.452,0.464,0.6773,0.6667,0.7739,0.0144,0.2389,0.393,0.357,0.3539,0.5522,0.0215,98,2,24,0.7903,0.0161,0.1935,45d883dcf208160e2db308d1b368beb74f37dc7e-bcf2b7d2af7c54bb42be1229df9e78ba7d08d2a7,970,"Counter({'Feature Addition': 145, 'Bug Fix': 126, 'Build/Configuration': 114, 'Other': 92, 'Update': 85, 'Tests': 81, 'Cleanup': 63, 'Git': 46, 'Refactoring': 41, 'Performance Improvements': 36, 'Data Management': 30, 'Release': 18, 'Documentation': 18, 'Style/Formatting': 17, 'Deprecation': 15, 'Frontend': 10, 'Merge/Conflict Resolution': 5, 'Monitoring': 5, 'Dependencies': 5, 'Experimental/Prototype': 5, 'Rollback': 4, 'Quality Assurance': 4, 'User Interface': 1, 'Security': 1, 'Architecture': 1, 'Production': 1, 'Backend': 1})"
bcf2b7d2af7c54bb42be1229df9e78ba7d08d2a7-50c75136beec0180171971c88bb6e3fa3aa66463,2013-12 -- 2014-03,371,226,15,130,0.6092,0.0404,0.3504,54,0.1456,6,0.0414,30,120,117,38,16,0,132,1,103,0.5863,0.9646,0.496,0.3692,0.3983,0.3933,0.1562,0.4865,0.469,0.6765,0.6713,0.7379,0.009,0.2014,0.3869,0.4239,0.4278,0.1861,0.024,85,6,32,0.6911,0.0488,0.2602,bcf2b7d2af7c54bb42be1229df9e78ba7d08d2a7-50c75136beec0180171971c88bb6e3fa3aa66463,1527,"Counter({'Feature Addition': 317, 'Bug Fix': 179, 'Update': 165, 'Other': 143, 'Cleanup': 139, 'Build/Configuration': 115, 'Tests': 87, 'Performance Improvements': 58, 'Data Management': 52, 'Documentation': 48, 'Release': 42, 'Style/Formatting': 41, 'Refactoring': 37, 'Git': 22, 'Merge/Conflict Resolution': 14, 'Dependencies': 14, 'Deprecation': 14, 'Backend': 13, 'Experimental/Prototype': 6, 'Monitoring': 5, 'Frontend': 5, 'Machine Learning': 3, 'Architecture': 3, 'User Interface': 2, 'Quality Assurance': 1, 'Rollback': 1, 'Production': 1})"
50c75136beec0180171971c88bb6e3fa3aa66463-d6635c4dbbcfca7f5bd379dd970617fc3430428f,2014-03 -- 2014-06,431,292,17,122,0.6775,0.0394,0.2831,50,0.116,6,0.0432,32,129,128,38,9,0,111,1,78,0.6777,0.9717,0.4015,0.4859,0.3213,0.3265,0.3158,0.4845,0.3573,0.7007,0.6908,0.7266,0.0068,0.2017,0.3737,0.4141,0.4206,0.5022,0.024,94,4,34,0.7121,0.0303,0.2576,50c75136beec0180171971c88bb6e3fa3aa66463-d6635c4dbbcfca7f5bd379dd970617fc3430428f,1703,"Counter({'Bug Fix': 302, 'Feature Addition': 267, 'Update': 170, 'Tests': 134, 'Other': 133, 'Build/Configuration': 124, 'Cleanup': 94, 'Release': 80, 'Data Management': 60, 'Refactoring': 57, 'Performance Improvements': 46, 'Experimental/Prototype': 40, 'Style/Formatting': 30, 'Documentation': 25, 'Git': 24, 'Merge/Conflict Resolution': 24, 'Frontend': 19, 'User Interface': 18, 'Deprecation': 17, 'Backend': 9, 'Monitoring': 7, 'Dependencies': 7, 'Machine Learning': 6, 'Rollback': 4, 'Quality Assurance': 3, 'Architecture': 2, 'Production': 1})"
d6635c4dbbcfca7f5bd379dd970617fc3430428f-88e89a57f985296a6eeb416b2a875072e09d7faa,2014-06 -- 2014-09,411,243,23,145,0.5912,0.056,0.3528,80,0.1946,13,0.0774,29,124,121,49,40,0,185,1,224,0.4343,0.9401,0.5392,0.4104,0.3953,0.4016,0.3218,0.3172,0.6131,0.6983,0.6881,0.7083,0.0068,0.2704,0.4453,0.4184,0.3817,0.4638,0.023,83,11,38,0.6288,0.0833,0.2879,d6635c4dbbcfca7f5bd379dd970617fc3430428f-88e89a57f985296a6eeb416b2a875072e09d7faa,1742,"Counter({'Feature Addition': 306, 'Bug Fix': 228, 'Update': 199, 'Tests': 152, 'Build/Configuration': 144, 'Other': 131, 'Cleanup': 116, 'Performance Improvements': 62, 'Refactoring': 58, 'Release': 56, 'Documentation': 56, 'Style/Formatting': 45, 'Data Management': 45, 'Merge/Conflict Resolution': 30, 'Deprecation': 24, 'Quality Assurance': 19, 'Git': 17, 'Dependencies': 14, 'Machine Learning': 10, 'Backend': 8, 'Architecture': 6, 'Experimental/Prototype': 5, 'Rollback': 4, 'Monitoring': 3, 'User Interface': 2, 'Frontend': 1, 'Security': 1})"
88e89a57f985296a6eeb416b2a875072e09d7faa-bf25983345ca44aec3dd92c57142be45452bd38a,2014-09 -- 2014-12,408,263,10,135,0.6446,0.0245,0.3309,72,0.1765,13,0.0897,31,136,136,41,28,4,178,3,142,0.5478,0.9484,0.5128,0.5367,0.3231,0.3113,0.6444,0.5667,0.5466,0.6667,0.6583,0.7172,0.0088,0.2248,0.4034,0.537,0.4534,0.4269,0.0241,99,4,37,0.7071,0.0286,0.2643,88e89a57f985296a6eeb416b2a875072e09d7faa-bf25983345ca44aec3dd92c57142be45452bd38a,1351,"Counter({'Feature Addition': 264, 'Bug Fix': 197, 'Build/Configuration': 138, 'Update': 129, 'Data Management': 84, 'Cleanup': 83, 'Other': 82, 'Tests': 79, 'Release': 59, 'Style/Formatting': 43, 'Refactoring': 35, 'Performance Improvements': 31, 'Documentation': 25, 'Deprecation': 24, 'Git': 18, 'Backend': 12, 'Merge/Conflict Resolution': 9, 'Rollback': 8, 'Dependencies': 6, 'Experimental/Prototype': 5, 'User Interface': 4, 'Security': 4, 'Machine Learning': 4, 'Architecture': 3, 'Monitoring': 2, 'Quality Assurance': 2, 'Frontend': 1})"
bf25983345ca44aec3dd92c57142be45452bd38a-f51074cdc6e750daa3b6df727d83449a7e42b391,2014-12 -- 2015-03,387,255,18,114,0.6589,0.0465,0.2946,66,0.1705,16,0.1212,27,127,124,41,22,0,139,3,89,0.4914,0.952,0.5107,0.4982,0.4259,0.4385,0.5122,0.4828,0.4703,0.6718,0.664,0.6894,0.0096,0.2386,0.3561,0.4616,0.4375,0.6162,0.0222,90,7,34,0.687,0.0534,0.2595,bf25983345ca44aec3dd92c57142be45452bd38a-f51074cdc6e750daa3b6df727d83449a7e42b391,1213,"Counter({'Feature Addition': 222, 'Bug Fix': 155, 'Update': 144, 'Build/Configuration': 115, 'Other': 85, 'Cleanup': 80, 'Data Management': 66, 'Tests': 61, 'Style/Formatting': 54, 'Refactoring': 47, 'Performance Improvements': 41, 'Release': 35, 'Deprecation': 19, 'Documentation': 18, 'Security': 15, 'Merge/Conflict Resolution': 14, 'Git': 7, 'Monitoring': 6, 'User Interface': 5, 'Dependencies': 5, 'Architecture': 4, 'Experimental/Prototype': 4, 'Frontend': 3, 'Backend': 2, 'Quality Assurance': 1, 'Service': 1, 'Minor Release': 1, 'Production': 1, 'Machine Learning': 1, 'Rollback': 1})"
f51074cdc6e750daa3b6df727d83449a7e42b391-9abe3bdc45ced367fe034c0fdd7c686212389767,2015-03 -- 2015-05,404,269,23,112,0.6658,0.0569,0.2772,58,0.1436,11,0.0815,32,122,122,36,39,0,104,1,126,0.5059,0.9514,0.488,0.4794,0.3614,0.3415,0.5714,0.399,0.3886,0.698,0.6798,0.7333,0.0059,0.2038,0.4089,0.4275,0.4395,0.6475,0.0228,95,9,27,0.7252,0.0687,0.2061,f51074cdc6e750daa3b6df727d83449a7e42b391-9abe3bdc45ced367fe034c0fdd7c686212389767,1340,"Counter({'Bug Fix': 207, 'Feature Addition': 194, 'Update': 126, 'Tests': 111, 'Cleanup': 105, 'Build/Configuration': 101, 'Data Management': 85, 'Release': 66, 'Other': 66, 'Refactoring': 47, 'Performance Improvements': 42, 'Documentation': 39, 'Style/Formatting': 25, 'Git': 25, 'Experimental/Prototype': 20, 'Deprecation': 12, 'Merge/Conflict Resolution': 10, 'Frontend': 9, 'Rollback': 9, 'User Interface': 8, 'Quality Assurance': 8, 'Security': 7, 'Monitoring': 6, 'Backend': 4, 'Architecture': 4, 'Service': 1, 'Dependencies': 1, 'Production': 1, 'Machine Learning': 1})"
9abe3bdc45ced367fe034c0fdd7c686212389767-6c76ec68f68494d4a31b5d82073ed4d2798b8e13,2015-05 -- 2015-08,401,244,23,134,0.6085,0.0574,0.3342,72,0.1796,8,0.051,28,116,114,45,32,0,132,3,179,0.5214,0.9404,0.5043,0.3904,0.3193,0.322,0.4444,0.3498,0.4788,0.7107,0.6984,0.7134,0.0081,0.2106,0.3795,0.5173,0.5302,0.6197,0.0255,75,6,39,0.625,0.05,0.325,9abe3bdc45ced367fe034c0fdd7c686212389767-6c76ec68f68494d4a31b5d82073ed4d2798b8e13,1594,"Counter({'Feature Addition': 253, 'Bug Fix': 208, 'Update': 158, 'Build/Configuration': 158, 'Data Management': 116, 'Cleanup': 108, 'Other': 96, 'Tests': 92, 'Release': 85, 'Performance Improvements': 78, 'Refactoring': 70, 'Documentation': 36, 'Deprecation': 27, 'Style/Formatting': 25, 'Git': 20, 'Monitoring': 14, 'Rollback': 9, 'Backend': 8, 'Merge/Conflict Resolution': 7, 'Experimental/Prototype': 6, 'Dependencies': 6, 'Quality Assurance': 3, 'User Interface': 3, 'Architecture': 3, 'Security': 2, 'Frontend': 2, 'Machine Learning': 1})"
6c76ec68f68494d4a31b5d82073ed4d2798b8e13-449e3578107799817a81249b189f6f82aa9e787d,2015-08 -- 2015-11,432,270,18,144,0.625,0.0417,0.3333,77,0.1782,21,0.1296,31,135,135,53,18,0,165,4,216,0.5146,0.9485,0.4202,0.4451,0.2629,0.249,0.4898,0.4514,0.544,0.6875,0.6739,0.6728,0.0096,0.2227,0.4061,0.4775,0.448,0.5781,0.0255,91,9,44,0.6319,0.0625,0.3056,6c76ec68f68494d4a31b5d82073ed4d2798b8e13-449e3578107799817a81249b189f6f82aa9e787d,1978,"Counter({'Feature Addition': 296, 'Bug Fix': 215, 'Update': 206, 'Build/Configuration': 191, 'Tests': 188, 'Data Management': 150, 'Cleanup': 135, 'Other': 97, 'Release': 87, 'Refactoring': 68, 'Performance Improvements': 67, 'Documentation': 66, 'Deprecation': 52, 'Git': 42, 'Style/Formatting': 27, 'Monitoring': 16, 'Experimental/Prototype': 13, 'Rollback': 10, 'Dependencies': 10, 'Backend': 9, 'Frontend': 7, 'User Interface': 5, 'Merge/Conflict Resolution': 4, 'Architecture': 4, 'Machine Learning': 4, 'Quality Assurance': 4, 'Production': 2, 'Security': 2, 'Service': 1})"
449e3578107799817a81249b189f6f82aa9e787d-93a92d3bd649cd315db47b9fb5dcb6af657cc22c,2015-11 -- 2016-02,394,254,13,127,0.6447,0.033,0.3223,56,0.1421,14,0.1,28,127,124,41,20,0,108,1,94,0.6594,0.9206,0.5303,0.5232,0.4046,0.3938,0.617,0.516,0.3909,0.6777,0.6745,0.7071,0.0152,0.2539,0.3868,0.4834,0.4869,0.3963,0.0254,88,5,36,0.6822,0.0388,0.2791,449e3578107799817a81249b189f6f82aa9e787d-93a92d3bd649cd315db47b9fb5dcb6af657cc22c,1656,"Counter({'Feature Addition': 294, 'Update': 193, 'Bug Fix': 179, 'Build/Configuration': 150, 'Data Management': 123, 'Cleanup': 115, 'Tests': 109, 'Refactoring': 91, 'Release': 87, 'Other': 73, 'Performance Improvements': 51, 'Git': 36, 'Deprecation': 31, 'Documentation': 28, 'Style/Formatting': 19, 'Experimental/Prototype': 14, 'Backend': 9, 'Dependencies': 9, 'Monitoring': 9, 'Merge/Conflict Resolution': 8, 'Architecture': 7, 'Frontend': 6, 'User Interface': 5, 'Security': 5, 'Rollback': 4, 'Quality Assurance': 1})"
93a92d3bd649cd315db47b9fb5dcb6af657cc22c-1abc2cae46b77ed345fd3eff88a49fe8f4b24abe,2016-02 -- 2016-05,404,259,13,132,0.6411,0.0322,0.3267,68,0.1683,19,0.131,31,137,136,46,37,2,96,1,194,0.4728,0.9054,0.4662,0.4,0.2727,0.2769,0.4368,0.3817,0.4208,0.6609,0.6522,0.6828,0.0107,0.2325,0.4138,0.4126,0.4717,0.4751,0.0254,100,10,36,0.6849,0.0685,0.2466,93a92d3bd649cd315db47b9fb5dcb6af657cc22c-1abc2cae46b77ed345fd3eff88a49fe8f4b24abe,1500,"Counter({'Feature Addition': 230, 'Bug Fix': 189, 'Update': 183, 'Build/Configuration': 164, 'Cleanup': 100, 'Release': 98, 'Data Management': 91, 'Tests': 79, 'Refactoring': 74, 'Other': 71, 'Performance Improvements': 35, 'Documentation': 33, 'Deprecation': 29, 'Style/Formatting': 22, 'Git': 21, 'Dependencies': 12, 'User Interface': 11, 'Monitoring': 11, 'Rollback': 7, 'Experimental/Prototype': 7, 'Architecture': 7, 'Security': 7, 'Merge/Conflict Resolution': 5, 'Machine Learning': 4, 'Quality Assurance': 4, 'Backend': 4, 'Production': 2})"
Totale,,18242,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
