range,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,org.silo,prima.donnas,radio.silence,black.cloud,missing.links,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,commit_range,commit_count,commit_categories
a2791981c7e328e66457f0a96c73e34cf84d634b-dbfcf6d3657362894a934ba6485226763562f9df,2013-05 -- 2013-08,396,223,133,40,0.5631,0.3359,0.101,29,0.0732,8,0.0462,1,126,90,51,312,0,80,0,355,0.0827,0.7267,0.0,0.0,0.0,0.0,0.0,0.0,0.4874,0.6818,0.6578,0.7052,0.005,0.2159,0.3132,0.1542,0.3732,0.0673,0.0159,79,40,11,0.6077,0.3077,0.0846,a2791981c7e328e66457f0a96c73e34cf84d634b-dbfcf6d3657362894a934ba6485226763562f9df,3244,"Counter({'Bug Fix': 488, 'Merge/Conflict Resolution': 461, 'Other': 384, 'Dependencies': 384, 'Feature Addition': 331, 'Documentation': 252, 'Update': 230, 'Cleanup': 113, 'Tests': 109, 'Build/Configuration': 93, 'Style/Formatting': 90, 'Release': 77, 'Performance Improvements': 55, 'Refactoring': 31, 'Git': 30, 'Rollback': 29, 'Monitoring': 23, 'Data Management': 23, 'Deprecation': 21, 'Frontend': 6, 'Production': 4, 'Experimental/Prototype': 3, 'Backend': 2, 'User Interface': 1, 'Major Release': 1, 'Architecture': 1, 'Service': 1, 'Security': 1})"
dbfcf6d3657362894a934ba6485226763562f9df-86686e093ec197faa99524ad2fef5f2740a97b58,2013-08 -- 2013-11,444,253,144,47,0.5698,0.3243,0.1059,49,0.1104,3,0.0157,1,128,92,58,462,0,143,1,539,0.0626,0.7319,0.631,0.6484,0.5906,0.5495,0.6055,0.4679,0.6036,0.7117,0.6933,0.6963,0.0053,0.3919,0.4932,0.2516,0.2428,0.2296,0.0192,73,39,19,0.5573,0.2977,0.145,dbfcf6d3657362894a934ba6485226763562f9df-86686e093ec197faa99524ad2fef5f2740a97b58,4020,"Counter({'Bug Fix': 633, 'Merge/Conflict Resolution': 562, 'Other': 496, 'Feature Addition': 436, 'Dependencies': 315, 'Documentation': 288, 'Update': 219, 'Cleanup': 191, 'Build/Configuration': 164, 'Tests': 153, 'Performance Improvements': 96, 'Release': 82, 'Style/Formatting': 81, 'Git': 56, 'Monitoring': 52, 'Refactoring': 43, 'Data Management': 32, 'Deprecation': 28, 'Backend': 22, 'Rollback': 19, 'Frontend': 15, 'Production': 12, 'Service': 10, 'Experimental/Prototype': 4, 'Security': 4, 'Machine Learning': 3, 'User Interface': 3, 'Architecture': 1})"
86686e093ec197faa99524ad2fef5f2740a97b58-f231fa224dfe1da009be0a5ba2e7cfe8b4823879,2013-11 -- 2014-02,411,219,149,43,0.5328,0.3625,0.1046,43,0.1046,7,0.0365,1,123,87,52,459,2,106,0,530,0.0619,0.7834,0.683,0.6684,0.6295,0.5698,0.7091,0.589,0.5596,0.7007,0.6679,0.7292,0.005,0.2238,0.2906,0.3301,0.3824,0.3454,0.0167,73,38,14,0.584,0.304,0.112,86686e093ec197faa99524ad2fef5f2740a97b58-f231fa224dfe1da009be0a5ba2e7cfe8b4823879,3474,"Counter({'Bug Fix': 583, 'Merge/Conflict Resolution': 476, 'Other': 456, 'Feature Addition': 254, 'Tests': 239, 'Documentation': 216, 'Dependencies': 215, 'Update': 190, 'Cleanup': 174, 'Build/Configuration': 131, 'Performance Improvements': 121, 'Style/Formatting': 104, 'Release': 66, 'Git': 60, 'Refactoring': 40, 'Rollback': 33, 'Monitoring': 32, 'Data Management': 30, 'Deprecation': 20, 'Security': 7, 'Backend': 6, 'Experimental/Prototype': 6, 'User Interface': 5, 'Frontend': 4, 'Service': 3, 'Machine Learning': 1, 'Architecture': 1, 'Production': 1})"
f231fa224dfe1da009be0a5ba2e7cfe8b4823879-14df629aa210580cd716523c2d50819daa694807,2014-02 -- 2014-05,492,257,196,39,0.5224,0.3984,0.0793,44,0.0894,2,0.0085,1,145,108,55,592,0,59,0,643,0.0302,0.8058,0.5338,0.5199,0.4925,0.5026,0.5234,0.5021,0.4065,0.7053,0.6351,0.766,0.0035,0.2274,0.275,0.2677,0.4315,0.2623,0.0122,97,44,11,0.6382,0.2895,0.0724,f231fa224dfe1da009be0a5ba2e7cfe8b4823879-14df629aa210580cd716523c2d50819daa694807,4340,"Counter({'Merge/Conflict Resolution': 672, 'Other': 616, 'Bug Fix': 520, 'Feature Addition': 456, 'Dependencies': 309, 'Update': 275, 'Documentation': 251, 'Cleanup': 193, 'Performance Improvements': 179, 'Tests': 174, 'Build/Configuration': 152, 'Style/Formatting': 130, 'Release': 69, 'Git': 65, 'Refactoring': 55, 'Monitoring': 44, 'Data Management': 44, 'Deprecation': 38, 'Rollback': 33, 'Service': 14, 'User Interface': 13, 'Frontend': 13, 'Backend': 8, 'Production': 8, 'Architecture': 3, 'Experimental/Prototype': 3, 'Security': 2, 'Machine Learning': 1})"
14df629aa210580cd716523c2d50819daa694807-c872dd9170c580cf5515962d58eb7a93e00fd72b,2014-05 -- 2014-08,441,218,181,42,0.4943,0.4104,0.0952,40,0.0907,0,0.0,1,106,87,35,307,0,100,0,368,0.0316,0.8511,0.671,0.6594,0.757,0.6974,0.7556,0.3866,0.4172,0.7596,0.6654,0.843,0.0034,0.2319,0.286,0.3412,0.4146,0.3236,0.0117,75,23,12,0.6818,0.2091,0.1091,14df629aa210580cd716523c2d50819daa694807-c872dd9170c580cf5515962d58eb7a93e00fd72b,3288,"Counter({'Merge/Conflict Resolution': 492, 'Bug Fix': 458, 'Other': 452, 'Tests': 309, 'Feature Addition': 274, 'Documentation': 215, 'Dependencies': 188, 'Cleanup': 154, 'Update': 145, 'Build/Configuration': 128, 'Performance Improvements': 112, 'Style/Formatting': 90, 'Release': 58, 'Refactoring': 37, 'Deprecation': 36, 'Git': 31, 'Monitoring': 23, 'Data Management': 22, 'Rollback': 18, 'Backend': 13, 'Frontend': 7, 'Security': 6, 'Production': 6, 'User Interface': 6, 'Experimental/Prototype': 5, 'Minor Release': 2, 'Service': 1})"
c872dd9170c580cf5515962d58eb7a93e00fd72b-10b8b45b522df4e933694f7bbbce0a1cb872a464,2014-08 -- 2014-11,499,249,207,43,0.499,0.4148,0.0862,47,0.0942,4,0.016,1,131,108,47,409,0,35,0,482,0.0379,0.8246,0.5106,0.4482,0.4219,0.4,0.3659,0.4458,0.3086,0.7375,0.6301,0.812,0.003,0.1646,0.1985,0.3128,0.5006,0.3384,0.0104,93,32,15,0.6643,0.2286,0.1071,c872dd9170c580cf5515962d58eb7a93e00fd72b-10b8b45b522df4e933694f7bbbce0a1cb872a464,6475,"Counter({'Other': 1188, 'Merge/Conflict Resolution': 1166, 'Dependencies': 1014, 'Bug Fix': 725, 'Feature Addition': 415, 'Documentation': 237, 'Update': 232, 'Tests': 232, 'Cleanup': 205, 'Performance Improvements': 198, 'Style/Formatting': 188, 'Build/Configuration': 157, 'Git': 131, 'Release': 78, 'Refactoring': 63, 'Rollback': 53, 'Data Management': 43, 'Frontend': 40, 'Monitoring': 26, 'Backend': 26, 'Deprecation': 26, 'Production': 10, 'User Interface': 7, 'Service': 6, 'Experimental/Prototype': 4, 'Architecture': 2, 'Machine Learning': 1, 'Security': 1, 'Major Release': 1})"
10b8b45b522df4e933694f7bbbce0a1cb872a464-89dab0ffaecc46a59b3cad11aeae8d31b24c8777,2014-11 -- 2015-02,460,217,209,34,0.4717,0.4543,0.0739,46,0.1,1,0.0041,1,120,92,48,326,0,49,0,374,0.0184,0.8364,0.684,0.645,0.5976,0.63,0.5895,0.2226,0.3783,0.7391,0.6335,0.8025,0.0033,0.1235,0.1649,0.3571,0.4787,0.3542,0.0094,78,34,14,0.619,0.2698,0.1111,10b8b45b522df4e933694f7bbbce0a1cb872a464-89dab0ffaecc46a59b3cad11aeae8d31b24c8777,4829,"Counter({'Bug Fix': 941, 'Merge/Conflict Resolution': 780, 'Other': 736, 'Tests': 367, 'Feature Addition': 316, 'Dependencies': 304, 'Cleanup': 268, 'Update': 180, 'Performance Improvements': 164, 'Documentation': 152, 'Style/Formatting': 132, 'Build/Configuration': 109, 'Git': 83, 'Release': 68, 'Rollback': 48, 'Refactoring': 44, 'Monitoring': 40, 'Data Management': 31, 'Deprecation': 29, 'Frontend': 9, 'Backend': 8, 'User Interface': 5, 'Production': 5, 'Experimental/Prototype': 5, 'Security': 2, 'Service': 2, 'Architecture': 1})"
89dab0ffaecc46a59b3cad11aeae8d31b24c8777-a3613e68e4441731f23fafa64013c31443b027f6,2015-02 -- 2015-05,525,254,229,42,0.4838,0.4362,0.08,53,0.101,2,0.0074,1,117,107,33,53,0,31,0,71,0.0658,0.9697,0.5685,0.5525,0.616,0.4724,0.7901,0.3,0.1657,0.7771,0.6385,0.8782,0.0023,0.2028,0.2407,0.5843,0.4449,0.7053,0.0055,90,16,17,0.7317,0.1301,0.1382,89dab0ffaecc46a59b3cad11aeae8d31b24c8777-a3613e68e4441731f23fafa64013c31443b027f6,39051,"Counter({'Bug Fix': 6064, 'Merge/Conflict Resolution': 5266, 'Other': 4753, 'Feature Addition': 4193, 'Dependencies': 3021, 'Update': 2451, 'Documentation': 2351, 'Tests': 1820, 'Build/Configuration': 1705, 'Cleanup': 1692, 'Performance Improvements': 969, 'Git': 944, 'Style/Formatting': 840, 'Release': 767, 'Refactoring': 469, 'Monitoring': 385, 'Data Management': 322, 'Deprecation': 275, 'Rollback': 242, 'Frontend': 104, 'Production': 93, 'Backend': 92, 'Service': 71, 'User Interface': 55, 'Security': 45, 'Experimental/Prototype': 39, 'Architecture': 9, 'Machine Learning': 8, 'Major Release': 3, 'Minor Release': 3})"
a3613e68e4441731f23fafa64013c31443b027f6-81d351ff8fff8bc0de397b482382942fe3ceb600,2015-05 -- 2015-08,659,209,413,37,0.3171,0.6267,0.0561,60,0.091,3,0.0067,1,119,95,37,119,0,40,0,135,0.0,0.9689,0.5,0.319,0.5763,0.6238,0.5714,0.0878,0.176,0.8194,0.6138,0.9178,0.0014,0.1207,0.1627,0.5734,0.5387,0.5169,0.003,86,28,9,0.6992,0.2276,0.0732,a3613e68e4441731f23fafa64013c31443b027f6-81d351ff8fff8bc0de397b482382942fe3ceb600,1473,"Counter({'Merge/Conflict Resolution': 335, 'Bug Fix': 289, 'Tests': 169, 'Documentation': 105, 'Update': 88, 'Other': 87, 'Feature Addition': 73, 'Dependencies': 63, 'Release': 39, 'Style/Formatting': 39, 'Performance Improvements': 31, 'Build/Configuration': 29, 'Cleanup': 26, 'Git': 25, 'Deprecation': 17, 'Monitoring': 14, 'Refactoring': 12, 'Data Management': 8, 'Rollback': 8, 'User Interface': 4, 'Service': 4, 'Frontend': 3, 'Backend': 3, 'Minor Release': 1, 'Production': 1})"
81d351ff8fff8bc0de397b482382942fe3ceb600-466a3f31d78734a5997fb63c89e515c84d159e3d,2015-08 -- 2015-11,684,198,450,36,0.2895,0.6579,0.0526,51,0.0746,3,0.0062,1,116,86,43,306,0,25,0,325,0.0122,0.9442,0.5123,0.4145,0.6298,0.674,0.5,0.0843,0.2018,0.8304,0.6325,0.9115,0.0014,0.113,0.1838,0.4609,0.5712,0.4457,0.0036,75,32,11,0.6356,0.2712,0.0932,81d351ff8fff8bc0de397b482382942fe3ceb600-466a3f31d78734a5997fb63c89e515c84d159e3d,4176,"Counter({'Merge/Conflict Resolution': 760, 'Bug Fix': 665, 'Other': 429, 'Dependencies': 330, 'Feature Addition': 321, 'Update': 275, 'Documentation': 255, 'Style/Formatting': 194, 'Tests': 172, 'Cleanup': 140, 'Build/Configuration': 136, 'Performance Improvements': 114, 'Release': 94, 'Git': 67, 'Monitoring': 48, 'Refactoring': 39, 'Deprecation': 37, 'Rollback': 34, 'Data Management': 27, 'Frontend': 13, 'Service': 9, 'User Interface': 5, 'Backend': 5, 'Security': 2, 'Experimental/Prototype': 2, 'Architecture': 1, 'Machine Learning': 1, 'Production': 1})"
