range,range.date,devs,ml.only.devs,code.only.devs,ml.code.devs,perc.ml.only.devs,perc.code.only.devs,perc.ml.code.devs,sponsored.devs,ratio.sponsored,sponsored.core.devs,ratio.sponsored.core,num.tz,core.global.devs,core.mail.devs,core.code.devs,org.silo,prima.donnas,radio.silence,black.cloud,missing.links,st.congruence,communicability,global.turnover,code.turnover,core.global.turnover,core.mail.turnover,core.code.turnover,ratio.smelly.quitters,ratio.smelly.devs,global.truck,mail.truck,code.truck,closeness.centr,betweenness.centr,degree centr,global.mod,mail.mod,code.mod,density,mail.only.core.devs,code.only.core.devs,ml.code.core.devs,ratio.mail.only.core,ratio.code.only.core,ratio.ml.code.core,commit_range,commit_count,commit_categories
c1b43ac7699640c8086bd73faa798bc9722d32c9-35084760a9f492f29434020b64f1db339bf99a23,2013-05 -- 2013-08,329,170,37,122,0.5167,0.1125,0.3708,28,0.0851,4,0.0252,1,113,105,47,45,4,99,0,114,0.3838,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.4802,0.6565,0.6404,0.7044,0.0075,0.3017,0.4465,0.2518,0.2689,0.224,0.023,76,18,29,0.6179,0.1463,0.2358,c1b43ac7699640c8086bd73faa798bc9722d32c9-35084760a9f492f29434020b64f1db339bf99a23,820,"Counter({'Feature Addition': 169, 'Build/Configuration': 143, 'Update': 88, 'Bug Fix': 66, 'Other': 63, 'Tests': 61, 'Performance Improvements': 40, 'Refactoring': 37, 'Git': 29, 'Cleanup': 25, 'Documentation': 22, 'Merge/Conflict Resolution': 17, 'Data Management': 13, 'Release': 12, 'Style/Formatting': 10, 'Deprecation': 9, 'Experimental/Prototype': 3, 'Backend': 3, 'User Interface': 3, 'Production': 2, 'Architecture': 2, 'Rollback': 1, 'Security': 1, 'Dependencies': 1})"
35084760a9f492f29434020b64f1db339bf99a23-6af3a0eaaecdaad971985c901cb675c9f8f3caac,2013-08 -- 2013-11,291,148,37,106,0.5086,0.1271,0.3643,47,0.1615,8,0.0559,1,100,97,33,13,0,94,1,63,0.2921,0.9673,0.529,0.5099,0.4789,0.4653,0.875,0.3963,0.457,0.6564,0.6181,0.7692,0.0074,0.2353,0.3286,0.4945,0.506,0.6908,0.0231,73,9,24,0.6887,0.0849,0.2264,35084760a9f492f29434020b64f1db339bf99a23-6af3a0eaaecdaad971985c901cb675c9f8f3caac,724,"Counter({'Build/Configuration': 129, 'Feature Addition': 104, 'Update': 90, 'Bug Fix': 69, 'Other': 47, 'Style/Formatting': 38, 'Cleanup': 37, 'Git': 35, 'Performance Improvements': 34, 'Refactoring': 24, 'Deprecation': 24, 'Tests': 22, 'Merge/Conflict Resolution': 18, 'Data Management': 13, 'Documentation': 12, 'Release': 11, 'Dependencies': 4, 'User Interface': 3, 'Security': 3, 'Experimental/Prototype': 3, 'Monitoring': 2, 'Rollback': 2})"
6af3a0eaaecdaad971985c901cb675c9f8f3caac-31993d6a3585d478d792fc70240129b0ca03f55f,2013-11 -- 2014-02,314,157,38,119,0.5,0.121,0.379,61,0.1943,8,0.051,1,94,91,36,7,2,89,2,33,0.4677,0.9833,0.4198,0.4133,0.4742,0.4468,0.5217,0.4016,0.3758,0.7006,0.6703,0.7707,0.0066,0.2692,0.3702,0.5682,0.5521,0.7966,0.0228,69,14,22,0.6571,0.1333,0.2095,6af3a0eaaecdaad971985c901cb675c9f8f3caac-31993d6a3585d478d792fc70240129b0ca03f55f,870,"Counter({'Build/Configuration': 181, 'Feature Addition': 129, 'Update': 106, 'Bug Fix': 79, 'Other': 68, 'Cleanup': 63, 'Git': 43, 'Tests': 34, 'Performance Improvements': 32, 'Deprecation': 28, 'Refactoring': 27, 'Merge/Conflict Resolution': 21, 'Documentation': 13, 'Data Management': 10, 'Dependencies': 10, 'Release': 6, 'Style/Formatting': 5, 'User Interface': 4, 'Rollback': 3, 'Experimental/Prototype': 2, 'Architecture': 2, 'Backend': 2, 'Frontend': 1, 'Monitoring': 1})"
31993d6a3585d478d792fc70240129b0ca03f55f-605d7e2af76fd0f28555685e6b8718d956c1da63,2014-02 -- 2014-05,287,161,24,102,0.561,0.0836,0.3554,30,0.1045,7,0.0556,1,91,87,26,13,5,113,2,25,0.4565,0.976,0.5557,0.6078,0.4541,0.4494,0.9355,0.3114,0.4739,0.6829,0.6692,0.7937,0.0106,0.2599,0.3566,0.4151,0.3838,0.7533,0.0246,71,10,16,0.732,0.1031,0.1649,31993d6a3585d478d792fc70240129b0ca03f55f-605d7e2af76fd0f28555685e6b8718d956c1da63,712,"Counter({'Build/Configuration': 160, 'Feature Addition': 103, 'Update': 82, 'Bug Fix': 54, 'Tests': 45, 'Other': 44, 'Refactoring': 34, 'Git': 27, 'Cleanup': 25, 'Performance Improvements': 23, 'Merge/Conflict Resolution': 21, 'Deprecation': 17, 'Documentation': 16, 'Style/Formatting': 10, 'Data Management': 10, 'Monitoring': 10, 'Experimental/Prototype': 6, 'Release': 6, 'Dependencies': 5, 'Production': 4, 'Rollback': 3, 'Architecture': 2, 'User Interface': 2, 'Frontend': 1, 'Machine Learning': 1, 'Security': 1})"
605d7e2af76fd0f28555685e6b8718d956c1da63-76a1e584e10d14f1981f65376636ecff80bdc19b,2014-05 -- 2014-08,298,134,43,121,0.4497,0.1443,0.406,24,0.0805,2,0.0122,1,90,84,33,31,0,107,5,55,0.4086,0.9733,0.4615,0.3448,0.442,0.4327,0.6102,0.4444,0.4564,0.698,0.6706,0.7988,0.0071,0.2371,0.3462,0.4987,0.4132,0.7191,0.0208,65,14,19,0.6633,0.1429,0.1939,605d7e2af76fd0f28555685e6b8718d956c1da63-76a1e584e10d14f1981f65376636ecff80bdc19b,1042,"Counter({'Build/Configuration': 212, 'Feature Addition': 176, 'Update': 97, 'Bug Fix': 92, 'Other': 84, 'Cleanup': 70, 'Tests': 65, 'Git': 42, 'Refactoring': 32, 'Merge/Conflict Resolution': 29, 'Performance Improvements': 27, 'Deprecation': 25, 'Experimental/Prototype': 15, 'Data Management': 14, 'Documentation': 14, 'Release': 11, 'Dependencies': 9, 'Style/Formatting': 9, 'Security': 6, 'Machine Learning': 3, 'User Interface': 3, 'Rollback': 3, 'Frontend': 1, 'Backend': 1, 'Architecture': 1, 'Production': 1})"
76a1e584e10d14f1981f65376636ecff80bdc19b-eb6b9f265c2902ae3864a891f51ed7ea6098097e,2014-08 -- 2014-11,293,138,34,121,0.471,0.116,0.413,55,0.1877,6,0.0387,1,86,85,25,6,2,118,7,36,0.5443,0.9744,0.4738,0.558,0.3864,0.355,0.8276,0.4,0.4744,0.7065,0.6718,0.8387,0.0075,0.2352,0.3953,0.4468,0.3979,0.6204,0.026,65,5,20,0.7222,0.0556,0.2222,76a1e584e10d14f1981f65376636ecff80bdc19b-eb6b9f265c2902ae3864a891f51ed7ea6098097e,929,"Counter({'Build/Configuration': 232, 'Feature Addition': 157, 'Bug Fix': 92, 'Update': 82, 'Tests': 61, 'Other': 56, 'Cleanup': 47, 'Git': 40, 'Performance Improvements': 37, 'Refactoring': 27, 'Merge/Conflict Resolution': 20, 'Deprecation': 16, 'Documentation': 16, 'Style/Formatting': 12, 'Data Management': 11, 'Release': 8, 'Architecture': 3, 'Rollback': 3, 'Dependencies': 3, 'Experimental/Prototype': 2, 'User Interface': 2, 'Monitoring': 1, 'Service': 1})"
eb6b9f265c2902ae3864a891f51ed7ea6098097e-1b1069cdce58e0e682b7fef80365c48341eced2d,2014-11 -- 2015-01,302,106,38,158,0.351,0.1258,0.5232,70,0.2318,12,0.0612,1,94,86,41,16,2,96,7,78,0.4222,0.9747,0.4639,0.3533,0.3111,0.3509,0.3333,0.4493,0.4834,0.6887,0.6742,0.7908,0.0071,0.2538,0.3752,0.5509,0.4164,0.6882,0.0235,63,18,23,0.6058,0.1731,0.2212,eb6b9f265c2902ae3864a891f51ed7ea6098097e-1b1069cdce58e0e682b7fef80365c48341eced2d,1659,"Counter({'Build/Configuration': 401, 'Feature Addition': 323, 'Bug Fix': 159, 'Other': 124, 'Cleanup': 120, 'Update': 110, 'Tests': 94, 'Git': 79, 'Performance Improvements': 57, 'Refactoring': 49, 'Merge/Conflict Resolution': 24, 'Documentation': 20, 'Data Management': 17, 'Deprecation': 16, 'Style/Formatting': 12, 'Experimental/Prototype': 8, 'Release': 7, 'Rollback': 6, 'Architecture': 6, 'Dependencies': 6, 'Security': 4, 'Monitoring': 4, 'Production': 3, 'Machine Learning': 3, 'User Interface': 3, 'Service': 2, 'Backend': 1, 'Frontend': 1})"
1b1069cdce58e0e682b7fef80365c48341eced2d-dcfa530f0967382df9ecb2dc513446f929769d60,2015-01 -- 2015-05,320,144,32,144,0.45,0.1,0.45,58,0.1812,3,0.017,1,110,108,37,24,0,104,4,95,0.3987,0.9566,0.4116,0.5161,0.2843,0.2887,0.6667,0.4453,0.45,0.6562,0.625,0.7898,0.0063,0.2301,0.3777,0.3931,0.3841,0.66,0.0236,80,9,28,0.6838,0.0769,0.2393,1b1069cdce58e0e682b7fef80365c48341eced2d-dcfa530f0967382df9ecb2dc513446f929769d60,1624,"Counter({'Build/Configuration': 400, 'Feature Addition': 306, 'Other': 128, 'Update': 123, 'Tests': 105, 'Bug Fix': 102, 'Cleanup': 93, 'Git': 66, 'Refactoring': 61, 'Performance Improvements': 61, 'Merge/Conflict Resolution': 30, 'Deprecation': 26, 'Documentation': 23, 'Data Management': 23, 'Release': 15, 'Style/Formatting': 10, 'Machine Learning': 10, 'Experimental/Prototype': 9, 'Dependencies': 8, 'Security': 7, 'Architecture': 5, 'Rollback': 4, 'Monitoring': 3, 'Backend': 3, 'User Interface': 2, 'Frontend': 1})"
dcfa530f0967382df9ecb2dc513446f929769d60-9649e152cbdd98d836912c45acd1f03fc70a21a5,2015-05 -- 2015-07,289,144,27,118,0.4983,0.0934,0.4083,45,0.1557,5,0.0345,1,99,95,34,15,0,122,2,42,0.4878,0.9807,0.509,0.5545,0.4498,0.4729,0.5352,0.4129,0.5294,0.6574,0.6374,0.7655,0.0118,0.2705,0.3625,0.3542,0.3535,0.5399,0.0264,71,10,24,0.6762,0.0952,0.2286,dcfa530f0967382df9ecb2dc513446f929769d60-9649e152cbdd98d836912c45acd1f03fc70a21a5,1362,"Counter({'Build/Configuration': 283, 'Feature Addition': 231, 'Tests': 146, 'Update': 112, 'Bug Fix': 107, 'Other': 101, 'Cleanup': 74, 'Performance Improvements': 54, 'Refactoring': 52, 'Merge/Conflict Resolution': 34, 'Git': 33, 'Data Management': 26, 'Documentation': 23, 'Deprecation': 18, 'Style/Formatting': 12, 'Release': 12, 'Dependencies': 7, 'Backend': 7, 'Architecture': 6, 'Machine Learning': 6, 'Rollback': 5, 'Experimental/Prototype': 4, 'Security': 3, 'User Interface': 2, 'Monitoring': 1, 'Major Release': 1, 'Frontend': 1, 'Production': 1})"
9649e152cbdd98d836912c45acd1f03fc70a21a5-219cc94a3f3440ea9c5a29d6b114b371a6aec430,2015-07 -- 2015-10,295,118,33,144,0.4,0.1119,0.4881,37,0.1254,3,0.0169,1,90,85,38,19,4,83,2,75,0.4403,0.9701,0.4521,0.3913,0.4233,0.4444,0.5833,0.5227,0.4508,0.6949,0.6756,0.7853,0.0079,0.3008,0.4449,0.4775,0.2642,0.4136,0.0279,65,18,20,0.6311,0.1748,0.1942,9649e152cbdd98d836912c45acd1f03fc70a21a5-219cc94a3f3440ea9c5a29d6b114b371a6aec430,1913,"Counter({'Build/Configuration': 428, 'Feature Addition': 302, 'Cleanup': 237, 'Update': 141, 'Bug Fix': 132, 'Other': 128, 'Tests': 119, 'Performance Improvements': 76, 'Refactoring': 52, 'Data Management': 49, 'Documentation': 46, 'Merge/Conflict Resolution': 39, 'Git': 36, 'Style/Formatting': 20, 'Machine Learning': 18, 'Release': 16, 'Deprecation': 14, 'Experimental/Prototype': 13, 'Dependencies': 13, 'Architecture': 7, 'Rollback': 7, 'Monitoring': 5, 'Backend': 4, 'Security': 4, 'Service': 2, 'Frontend': 2, 'User Interface': 2, 'Production': 1})"
