Project,Cluster
Nodejs_,Cluster negativo
GitLab_,Cluster negativo
Vagrant_,Cluster negativo
Python_,Cluster negativo
Mesa_,Cluster negativo
U-boot_,Cluster negativo
Django_,Cluster negativo
Emacs_,Cluster negativo
FFmpeg_,Cluster negativo
Rails_,Cluster negativo
Firefox_,Cluster negativo
Git_,Cluster negativo
iPython_,Cluster neutro
Salt_,Cluster neutro
QEMU_,Cluster neutro
Gstreamer_,Cluster neutro
AngularJS_,Cluster neutro
Bitcoin_,Cluster neutro
LLVM_,Cluster neutro
Blender_,Cluster neutro
LibreOffice_,Cluster neutro
