Project,Cluster
Nodejs_,Cluster negativo
GitLab_,Cluster negativo
Vagrant_,Cluster negativo
Python_,Cluster negativo
Django_,Cluster negativo
Emacs_,Cluster negativo
Rails_,Cluster negativo
Firefox_,Cluster negativo
iPython_,Cluster neutro
Salt_,Cluster neutro
QEMU_,Cluster neutro
Mesa_,Cluster neutro
U-boot_,Cluster neutro
Gstreamer_,Cluster neutro
AngularJS_,Cluster neutro
FFmpeg_,Cluster neutro
Bitcoin_,Cluster neutro
LLVM_,Cluster neutro
Blender_,Cluster neutro
Git_,Cluster neutro
LibreOffice_,Cluster neutro
